web-scraper-order,web-scraper-start-url,pagination,PLZ,Stadt,Stadtteil,Landkreis,Bundesland
"1632988457-12605","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-8","82377","Penzberg","","Kreis Weilheim-Schongau","Bayern"
"1632988538-17691","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-2","25926","Ladelund","","Kreis Nordfriesland","Schleswig-Holstein"
"1632988457-13018","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-8","85652","Pliening","","Kreis Ebersberg","Bayern"
"1632988423-10761","https://home.meinestadt.de/deutschland/plz-0","","02923","Hähnichen","","Kreis Görlitz","Sachsen"
"1632988485-15001","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-6","67582","Mettenheim/Rheinhessen","","Kreis Alzey-Worms","Rheinland-Pfalz"
"1632988440-12243","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","97464","Niederwerrn","","Kreis Schweinfurt","Bayern"
"1632988440-11697","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","92720","Schwarzenbach/Oberpfalz","","Kreis Neustadt a.d. Waldnaab","Bayern"
"1632988473-13881","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-7","73479","Ellwangen/Jagst","","Ostalbkreis","Baden-Württemberg"
"1632988440-11822","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","94121","Salzweg","","Kreis Passau","Bayern"
"1632988440-11961","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","95152","Selbitz/Oberfranken","","Kreis Hof","Bayern"
"1632988473-14108","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-7","75417","Mühlacker","","Enzkreis","Baden-Württemberg"
"1632988511-16094","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-4","47269","Duisburg","Duisburg-Rahm","","Nordrhein-Westfalen"
"1632988501-15395","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-5","5453154570","Meerfeld","","Kreis Bernkastel-Wittlich","Rheinland-Pfalz"
"1632988473-14456","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-7","79674","Todtnau","","Kreis Lörrach","Baden-Württemberg"
"1632988538-17611","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-2","25596","Gribbohm","","Kreis Steinburg","Schleswig-Holstein"
"1632988522-16785","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-3","37359","Küllstedt","","Kreis Eichsfeld","Thüringen"
"1632988522-16291","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-3","30451","Hannover","Hannover-Linden-Nord","Region Hannover","Niedersachsen"
"1632988538-17956","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-2","29579","Emmendorf","","Kreis Uelzen","Niedersachsen"
"1632988473-13762","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-7","72510","Stetten am kalten Markt","","Kreis Sigmaringen","Baden-Württemberg"
"1632988511-15963","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-4","44575445774457944581","Castrop-Rauxel","","Kreis Recklinghausen","Nordrhein-Westfalen"
"1632988440-11454","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","91322","Gräfenberg","","Kreis Forchheim","Bayern"
"1632988423-11229","https://home.meinestadt.de/deutschland/plz-0","","01737","Tharandt","","Kreis Sächsische Schweiz-Osterzgebirge","Sachsen"
"1632988538-17475","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-2","24814","Sehestedt","","Kreis Rendsburg-Eckernförde","Schleswig-Holstein"
"1632988440-12303","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","97717","Euerdorf","","Kreis Bad Kissingen","Bayern"
"1632988501-15379","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-5","54483","Kleinich","","Kreis Bernkastel-Wittlich","Rheinland-Pfalz"
"1632988485-14814","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-6","6648266957","Kröppen","","Südwestpfalz","Rheinland-Pfalz"
"1632988457-13489","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-8","89192","Rammingen/Württemberg","","Alb-Donau-Kreis","Baden-Württemberg"
"1632988501-15676","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-5","56727","Reudelsterz","","Kreis Mayen-Koblenz","Rheinland-Pfalz"
"1632988440-12192","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","97256","Geroldshausen","","Kreis Würzburg","Bayern"
"1632988440-12503","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","99976","Anrode","","Unstrut-Hainich-Kreis","Thüringen"
"1632988522-16883","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-3","38467","Bergfeld","","Kreis Gifhorn","Niedersachsen"
"1632988423-11209","https://home.meinestadt.de/deutschland/plz-0","","09128","Chemnitz","Chemnitz-Kleinolbersdorf-Albershain","","Sachsen"
"1632988511-15881","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-4","40591","Düsseldorf","Düsseldorf-Wersten","","Nordrhein-Westfalen"
"1632988501-15368","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-5","54441","Kastel-Staadt","","Kreis Trier-Saarburg","Rheinland-Pfalz"
"1632988423-11296","https://home.meinestadt.de/deutschland/plz-0","","09669","Frankenberg/Sa.","","Kreis Mittelsachsen","Sachsen"
"1632988546-18251","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-1","14552","Michendorf","","Kreis Potsdam-Mittelmark","Brandenburg"
"1632988440-11421","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","91183","Abenberg","","Kreis Roth","Bayern"
"1632988440-11926","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","94533","Buchhofen","","Kreis Deggendorf","Bayern"
"1632988473-13585","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-7","70192","Stuttgart","Stuttgart-An der Burg","","Baden-Württemberg"
"1632988511-16206","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-4","49377","Vechta","Vechta-Welpe","Kreis Vechta","Niedersachsen"
