web-scraper-order,web-scraper-start-url,Name,Redaktionssitz,Verlag
"1632990151-18544","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Elmshorner Nachrichten","Elmshorn","Schleswig-Holsteinischer Zeitungsverlag"
"1632990151-18459","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Ärzte-Zeitung","Neu-Isenburg","Springer Science+Business Media"
"1632990151-18583","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Gießener Anzeiger","Gießen","Gießener Anzeiger Verlags GmbH & Co KG"
"1632990151-18780","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Potsdamer Neueste Nachrichten","Potsdam","Potsdamer Zeitungsverlagsgesellschaft mbH & Co.KG"
"1632990151-18648","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Kreiszeitung Wesermarsch","Nordenham","Verlag Wilhelm Böning"
"1632990151-18770","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Pfälzer Tageblatt","Landau","Rheinpfalz Verlag und Druckerei GmbH und Co. KG"
"1632990151-18873","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Thüringer Allgemeine","Erfurt","Thüringer Allgemeine Verlag GmbH & Co. KG"
"1632990151-18505","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Chamer Zeitung","Cham","Cl. Attenkofer'sche Buch- und Kunstdruckerei KG"
"1632990151-18532","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Dresdner Neueste Nachrichten","Dresden","Dresdner Nachrichten GmbH & Co. KG"
"1632990151-18469","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Bayerische Rundschau","Kulmbach","Bayerische Rundschau Verlag & Medien GmbH & Co. KG"
"1632990151-18543","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Elbe-Jeetzel-Zeitung","Lüchow","Druck- und Verlagsgesellschaft Köhring GmbH & Co. KG"
"1632990151-18508","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Cuxhavener Nachrichten","Cuxhaven","Cuxhaven-Niederelbe Verlagsgesellschaft"
"1632990151-18598","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Hamburger Morgenpost","Hamburg","BV Deutsche Zeitungsholding"
"1632990151-18915","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Westfälischer Anzeiger","Hamm","Westfälischer Anzeiger Verlagsgesellschaft mbH & Co. KG"
"1632990151-18751","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Oschatzer Allgemeine Zeitung","Oschatz","Leipziger Verlags- und Druckereigesellschaft"
"1632990151-18776","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Pinneberger Zeitung","Pinneberg","Zeitungsgruppe Hamburg GmbH"
"1632990151-18894","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Waltroper Zeitung","Waltrop","Verlag J. Bauer KG"
"1632990151-18476","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Berliner Zeitung","Berlin","Berliner Verlag GmbH"
"1632990151-18627","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Hürriyet","Mörfelden-Walldorf","Dogan Media Int.GmbH"
"1632990151-18918","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Wetterauer Zeitung","Bad Nauheim","Mittelhessische Druck- und Verlagsgesellschaft"
"1632990151-18657","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Lauterbacher Anzeiger","Lauterbach","Verlagsgesellschaft Vogelsberg GmbH & Co. KG"
"1632990151-18538","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Eckernförder Zeitung","Eckernförde","Schleswig-Holsteinischer Zeitungsverlag"
"1632990151-18490","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Bote, Der","Feucht","Nürnberger Presse Druckhaus Nürnberg GmbH & Co."
