web-scraper-order,web-scraper-start-url,pagination,name,street,zip-code,city
"1632986610-4983","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/6#","EDEKA Embach","Eichendorffstr. 44","68723","Oftersheim"
"1632986674-8956","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2","Frischemarkt Lunks","Hauptstr. 29","25872","Ostenfeld"
"1632986652-7300","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/3","EDEKA","Bahnhofstr. 36","34582","Borken"
"1632986567-2626","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/8","EDEKA Esslinger","Eisenbahnstr. 27","88085","Langenargen"
"1632986610-4973","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/6#","EDEKA Walter","St. Ilgener Str. 60","69181","Leimen"
"1632986530-153","https://www.meinprospekt.de/filialen/edeka/0","","EDEKA Fiedler","Eherne Schlange 4","09599","Freiberg"
"1632986604-4934","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/6","EDEKA","Heusweiler Str. 12-14","66265","Heusweiler-Holz"
"1632986589-3944","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/7","EDEKA Karle","Am Busbahnhof 4","79674","Todtnau"
"1632986634-6569","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/4","EDEKA Brinkmann","Dickeler Str. 5-7","49453","Rehden"
"1632986567-2253","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/8","E xpress","Augsburger Str. 26","86157","Augsburg"
"1632986661-8205","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/3#","EDEKA Aytar","Wreschener Allee 1","30827","Garbsen"
"1632986617-5528","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/5","EDEKA","Bonnerstr. 32","53909","Zülpich"
"1632986543-890","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9","EDEKA Spiegel","Lange Läng 2","97270","Kist"
"1632986685-9685","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2#","EDEKA","Dohrnstr. 10a","25764","Wesselburen"
"1632986643-7112","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/4#","EDEKA Pascal Lurvink","Lüttinger Str. 29","46509","Xanten"
"1632986617-5360","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/5","EDEKA","Über Brücken 4","54294","Trier"
"1632986674-8741","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2","EDEKA Cord","Hans-Böckler-Str. 32b","27578","Bremerhaven-Leherheide-Leherheide"
"1632986694-10160","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/1","KG Hagenow Getränkemarkt","Am Mühlenberg 1","19412","Brüel"
"1632986634-6122","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/4","EDEKA Nüsken","Im Defdahl 94-96","44141","Dortmund"
"1632986685-9263","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2#","EDEKA Böse","Heideweg 2","26160","Bad Zwischenahn"
"1632986610-5138","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/6#","EDEKA","Ferdinand-Happ-Str. 59","60314","Frankfurt am Main"
"1632986589-3698","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/7","EDEKA Ueltzhöfer","Kochendorfer Str. 16","74229","Oedheim"
"1632986685-9122","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2#","E aktiv Markt Klein","Thorner Str. 37","21339","Lüneburg-Kreideberg"
"1632986643-6717","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/4#","EDEKA Patzer","Kamener Str. 4","44532","Lünen"
"1632986543-675","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9","E aktiv Markt Honner","Hauptstr. 25 F 6","94258","Frauenau"
"1632986701-10577","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/1#","EDEKA Bockelmann","Zur Burghofwiese 1","16949","Putlitz"
"1632986652-7209","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/3","EDEKA","Ebersberger Platz 2-4","36129","Gersfeld"
"1632986598-4346","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/7#","EDEKA Kuhnle","Pforzheimer Str. 11","75223","Niefern-Öschelbronn"
"1632986543-514","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9","EDEKA","Schulstr. 26","93426","Roding"
